#,OriginalFileName,LogFileName,DateRecorded,UnitId,Age (week),Weight (g),IndenterTipDia (mm),MouseId
1,2011122601V_01.mat,2011122601V.txt,12/26/2011,1,10,20.23,3.5,1508
2,2012020901V_01.mat,2012020901V.txt,02/09/2012,1,9,18.93,3.5,1662
3,2012030905V_01.mat,2012030905V.txt,03/09/2012,5,10.14,16.07,1,1730
4,2012031201V_01.mat,2012031201V.txt,03/12/2012,1,10.57,21.21,1,1726
5,2012031305V_01.mat,2012031305V.txt,03/13/2012,5,10,22.28,3.5,1743
6,2012031501V_01.mat,2012031501V.txt,03/15/2012,1,10.29,25.83,1,1749
7,2012031604V_01.mat,2012031604V.txt,03/16/2012,4,9.29,19.76,1,1772
8,2012041301V_01.mat,2012041301V.txt,04/13/2012,1,8.43,18.49,1,1845
9,2012042001V_01.mat,2012042001V.txt,04/20/2012,1,8.86,21.4,1,1821
10,2012042701V_01.mat,2012042701V.txt,04/27/2012,1,8.29,20,1,1880
11,2012042702V_01.mat,2012042702V.txt,04/27/2012,2,8.29,20,1,1880
12,2012042703V_01.mat,2012042703V.txt,04/27/2012,3,8.29,19.78,1,1882
13,2012043002V_01.mat,2012043002V.txt,04/30/2012,2,7.57,18.18,1,1892
